MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,GOYALSALT,GOYAL SALT LIMITED,       136.50,       130.00,       136.25,       130.00,       136.25,                   482670.00,3600, ,       204.00,       120.05
N,SM,GPECO,GP ECO SOLUTIONS INDIA L,       366.60,       375.00,       389.00,       372.25,       383.40,                  4934530.00,13000, ,       616.50,       230.00
N,SM,GCHOTELS,GRAND CONTINENT HOTELS L,       131.75,       131.75,       131.75,       125.00,       127.85,                  4924590.00,38400, ,       255.00,       101.90
N,SM,GRAPHISAD,GRAPHISADS LIMITED,        41.80,        43.20,        44.00,        38.85,        43.40,                  2252100.00,54000, ,        58.20,        30.40
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        46.00,        46.00,        47.90,        45.80,        47.90,                   260080.00,5600, ,        77.80,        42.30
N,SM,GREENLEAF,GREENLEAF ENVIROTECH LTD,       138.45,       139.00,       139.75,       137.85,       137.95,                  2632500.00,19000, ,       185.90,       111.00
N,SM,GSMFOILS,GSM FOILS LIMITED,       207.50,       213.00,       215.00,       207.00,       210.00,                  3249975.00,15500, ,       255.15,       110.70
N,SM,WHITEFORCE,HAPPY SQUARE OUTSOURC S L,        50.00,        50.00,        50.00,        50.00,        50.00,                   160000.00,3200, ,        94.80,        49.00
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       140.05,       140.05,       143.00,       138.00,       143.00,                   448840.00,3200, ,       288.00,       125.00
N,ST,HOACFOODS,HOAC FOODS INDIA LIMITED,       352.50,       348.00,       352.00,       348.00,       352.00,                  1312500.00,3750, ,       380.00,       112.00
N,SM,HOLMARC,HOLMARC OPTO MECHATRO L,        99.00,        97.00,        97.00,        94.05,        94.05,                   789187.50,8250, ,       176.95,        86.15
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       170.00,       162.00,       165.00,       162.00,       164.95,                   343185.00,2100, ,       508.00,       154.60
